,trialno,correctno,delay,cpd,selected,totdur,switches,tpertrial,subj
225,46,3,1.5,2,3,15.677299999999999,4,3.9193249999999997,Sofie
226,47,1,1.5,8,2,13.5165,7,1.9309285714285715,Sofie
227,48,1,0.0,2,1,13.8425,11,1.2584090909090908,Sofie
228,49,2,1.5,8,3,12.6527,7,1.8075285714285714,Sofie
229,50,1,0.0,2,1,15.281699999999999,8,1.9102124999999999,Sofie
230,51,3,1.5,2,3,8.721,4,2.18025,Sofie
231,52,1,1.5,2,2,16.4717,7,2.3531,Sofie
232,53,1,1.5,2,2,14.215,4,3.55375,Sofie
233,54,3,0.0,8,3,18.939300000000003,9,2.104366666666667,Sofie
234,55,2,1.5,8,2,20.749000000000002,8,2.5936250000000003,Sofie
235,56,1,0.0,8,2,8.0268,7,1.1466857142857143,Sofie
236,57,1,1.5,8,1,10.4476,3,3.482533333333333,Sofie
237,58,2,1.5,8,2,11.0677,5,2.21354,Sofie
238,59,3,1.5,2,3,11.006,6,1.8343333333333334,Sofie
239,60,1,1.5,2,2,8.565999999999999,4,2.1414999999999997,Sofie
240,1,2,1.5,2,2,37.02,3,12.340000000000002,VP1
241,2,3,0.0,2,1,85.3172,9,9.479688888888889,VP1
242,3,1,1.5,8,3,0.0,0,,VP1
243,4,2,0.0,2,3,0.0,0,,VP1
244,5,2,1.5,2,3,0.0,0,,VP1
245,6,2,1.5,8,3,0.0,0,,VP1
246,7,1,0.0,8,3,0.0,0,,VP1
247,8,3,0.0,2,3,0.0,0,,VP1
248,9,2,0.0,8,3,0.0,0,,VP1
249,10,1,1.5,2,3,0.0,0,,VP1
250,11,1,1.5,8,3,0.0,0,,VP1
251,12,3,0.0,8,3,0.0,0,,VP1
252,13,1,0.0,2,3,0.0,0,,VP1
253,14,1,0.0,8,3,0.0,0,,VP1
254,15,2,1.5,8,3,0.0,0,,VP1
255,16,1,0.0,8,3,0.0,0,,VP1
256,17,2,1.5,2,3,0.0,0,,VP1
257,18,2,0.0,2,3,0.0,0,,VP1
258,19,2,0.0,8,3,0.0,0,,VP1
259,20,1,1.5,8,3,0.0,0,,VP1
260,21,2,0.0,2,2,0.0,0,,VP1
261,22,2,0.0,2,3,0.0,0,,VP1
262,23,1,1.5,8,3,0.0,0,,VP1
263,24,2,1.5,2,3,0.0,0,,VP1
264,25,1,0.0,2,3,0.0,0,,VP1
265,26,2,1.5,2,3,0.0,0,,VP1
266,27,2,0.0,8,3,0.0,0,,VP1
267,28,1,0.0,8,3,0.0,0,,VP1
268,29,3,1.5,8,3,0.0,0,,VP1
269,30,3,0.0,2,3,0.0,0,,VP1
270,31,1,1.5,2,3,0.0,0,,VP1
271,32,2,0.0,8,3,0.0,0,,VP1
272,33,1,1.5,2,3,0.0,0,,VP1
273,34,2,1.5,8,3,0.0,0,,VP1
274,35,2,0.0,2,3,0.0,0,,VP1
275,36,1,0.0,2,3,0.0,0,,VP1
276,37,2,1.5,2,3,0.0,0,,VP1
277,38,2,0.0,8,3,0.0,0,,VP1
278,39,2,0.0,2,3,0.0,0,,VP1
279,40,2,0.0,8,3,0.0,0,,VP1
280,41,3,0.0,8,3,0.0,0,,VP1
281,42,3,1.5,8,3,0.0,0,,VP1
282,43,1,0.0,8,3,0.0,0,,VP1
283,44,1,0.0,2,3,0.0,0,,VP1
284,45,3,1.5,8,3,0.0,0,,VP1
285,46,3,1.5,2,3,0.0,0,,VP1
286,47,1,1.5,8,3,0.0,0,,VP1
287,48,1,0.0,2,3,0.0,0,,VP1
288,49,2,1.5,8,3,0.0,0,,VP1
289,50,1,0.0,2,3,0.0,0,,VP1
290,51,3,1.5,2,3,0.0,0,,VP1
291,52,1,1.5,2,3,0.0,0,,VP1
292,53,1,1.5,2,3,0.0,0,,VP1
293,54,3,0.0,8,3,0.0,0,,VP1
294,55,2,1.5,8,3,0.0,0,,VP1
295,56,1,0.0,8,3,0.0,0,,VP1
296,57,1,1.5,8,3,0.0,0,,VP1
297,58,2,1.5,8,3,0.0,0,,VP1
298,59,3,1.5,2,3,0.0,0,,VP1
299,60,1,1.5,2,3,0.0,0,,VP1
300,1,2,1.5,2,1,21.555999999999997,8,2.6944999999999997,VP2
301,2,3,0.0,2,3,16.299,8,2.037375,VP2
302,3,1,1.5,8,1,57.59699999999999,19,3.031421052631578,VP2
303,4,2,0.0,2,2,16.0803,9,1.7867000000000002,VP2
304,5,2,1.5,2,2,17.708,5,3.5416,VP2
305,6,2,1.5,8,2,28.381000000000004,10,2.8381000000000003,VP2
306,7,1,0.0,8,1,16.1532,10,1.6153199999999999,VP2
307,8,3,0.0,2,3,13.147499999999999,10,1.3147499999999999,VP2
308,9,2,0.0,8,2,19.8215,15,1.3214333333333335,VP2
309,10,1,1.5,2,1,21.535,10,2.1535,VP2
310,11,1,1.5,8,1,30.551000000000005,13,2.3500769230769234,VP2
311,12,3,0.0,8,3,15.081,7,2.1544285714285714,VP2
312,13,1,0.0,2,1,17.179299999999998,14,1.227092857142857,VP2
313,14,1,0.0,8,1,12.796600000000002,8,1.5995750000000002,VP2
314,15,2,1.5,8,2,22.3412,13,1.718553846153846,VP2
315,16,1,0.0,8,1,11.1692,8,1.39615,VP2
316,17,2,1.5,2,2,36.26399999999999,16,2.2664999999999993,VP2
317,18,2,0.0,2,2,14.534199999999997,13,1.1180153846153844,VP2
318,19,2,0.0,8,2,11.2341,9,1.2482333333333333,VP2
319,20,1,1.5,8,1,22.609,8,2.826125,VP2
320,21,2,0.0,2,2,11.653100000000002,10,1.1653100000000003,VP2
321,22,2,0.0,2,2,20.591299999999997,17,1.2112529411764703,VP2
322,23,1,1.5,8,2,19.578,5,3.9156,VP2
323,24,2,1.5,2,2,21.168000000000003,8,2.6460000000000004,VP2
324,25,1,0.0,2,1,10.5628,9,1.1736444444444443,VP2
325,26,2,1.5,2,2,27.813,11,2.5284545454545455,VP2
326,27,2,0.0,8,2,14.1581,11,1.2871,VP2
327,28,1,0.0,8,1,14.5481,9,1.6164555555555555,VP2
328,29,3,1.5,8,3,18.144,9,2.016,VP2
329,30,3,0.0,2,3,12.987,10,1.2987,VP2
330,31,1,1.5,2,1,16.943,8,2.117875,VP2
331,32,2,0.0,8,2,15.956199999999999,13,1.2273999999999998,VP2
332,33,1,1.5,2,1,18.169,7,2.5955714285714286,VP2
333,34,2,1.5,8,2,15.012999999999998,7,2.1447142857142856,VP2
334,35,2,0.0,2,2,9.849,7,1.407,VP2
335,36,1,0.0,2,1,10.677900000000001,9,1.1864333333333335,VP2
336,37,2,1.5,2,2,14.686,6,2.4476666666666667,VP2
337,38,2,0.0,8,1,15.366800000000001,10,1.53668,VP2
338,39,2,0.0,2,2,16.418100000000003,15,1.09454,VP2
339,40,2,0.0,8,2,11.601399999999998,9,1.2890444444444442,VP2
340,41,3,0.0,8,3,14.362100000000002,9,1.5957888888888891,VP2
341,42,3,1.5,8,3,18.1682,7,2.5954571428571427,VP2
342,43,1,0.0,8,1,10.834399999999999,9,1.2038222222222221,VP2
343,44,1,0.0,2,1,9.679800000000002,10,0.9679800000000002,VP2
344,45,3,1.5,8,3,24.5793,11,2.234481818181818,VP2
345,46,3,1.5,2,3,13.896999999999998,5,2.7794,VP2
346,47,1,1.5,8,1,22.344500000000004,12,1.862041666666667,VP2
347,48,1,0.0,2,1,10.4489,9,1.1609888888888888,VP2
348,49,2,1.5,8,2,24.121000000000002,13,1.8554615384615387,VP2
349,50,1,0.0,2,1,8.4817,8,1.0602125,VP2
350,51,3,1.5,2,3,12.668,6,2.111333333333333,VP2
351,52,1,1.5,2,2,18.294999999999998,8,2.2868749999999998,VP2
352,53,1,1.5,2,1,9.006,4,2.2515,VP2
353,54,3,0.0,8,3,10.5967,10,1.0596700000000001,VP2
354,55,2,1.5,8,2,30.152999999999995,16,1.8845624999999997,VP2
355,56,1,0.0,8,1,11.088599999999998,10,1.1088599999999997,VP2
356,57,1,1.5,8,1,17.112,9,1.901333333333333,VP2
357,58,2,1.5,8,2,12.469999999999999,8,1.5587499999999999,VP2
358,59,3,1.5,2,3,15.3559,9,1.7062111111111111,VP2
359,60,1,1.5,2,1,10.2504,7,1.4643428571428572,VP2
360,1,2,1.5,2,3,34.4779,11,3.134354545454545,vp4
361,2,3,0.0,2,3,36.802,9,4.089111111111111,vp4
362,3,1,1.5,8,1,26.0169,7,3.7167,vp4
363,4,2,0.0,2,2,18.4365,7,2.633785714285714,vp4
364,5,2,1.5,2,1,20.3414,9,2.2601555555555555,vp4
365,6,2,1.5,8,2,24.784200000000002,9,2.7538,vp4
366,7,1,0.0,8,1,25.860599999999998,8,3.2325749999999998,vp4
367,8,3,0.0,2,3,28.447999999999997,10,2.8447999999999998,vp4
368,9,2,0.0,8,2,45.446619999999996,18,2.524812222222222,vp4
369,10,1,1.5,2,1,17.365000000000002,4,4.3412500000000005,vp4
370,11,1,1.5,8,1,40.3626,8,5.045325,vp4
371,12,3,0.0,8,3,37.63870000000001,11,3.421700000000001,vp4
372,13,1,0.0,2,1,33.8913,17,1.9936058823529412,vp4
373,14,1,0.0,8,1,13.7426,8,1.717825,vp4
374,15,2,1.5,8,2,22.4403,10,2.24403,vp4
375,16,1,0.0,8,1,18.573700000000006,14,1.3266928571428576,vp4
376,17,2,1.5,2,2,11.7595,8,1.4699375,vp4
377,18,2,0.0,2,2,18.817199999999996,11,1.7106545454545452,vp4
378,19,2,0.0,8,2,10.8721,9,1.2080111111111111,vp4
379,20,1,1.5,8,1,23.964399999999998,11,2.178581818181818,vp4
380,21,2,0.0,2,2,21.703600000000005,13,1.6695076923076928,vp4
381,22,2,0.0,2,2,12.374400000000001,12,1.0312000000000001,vp4
382,23,1,1.5,8,1,14.5065,13,1.1158846153846154,vp4
383,24,2,1.5,2,2,34.3548,22,1.561581818181818,vp4
384,25,1,0.0,2,2,11.6637,9,1.2959666666666667,vp4
385,26,2,1.5,2,2,13.3697,12,1.1141416666666666,vp4
386,27,2,0.0,8,2,22.035899999999998,15,1.4690599999999998,vp4
387,28,1,0.0,8,1,17.4045,13,1.3388076923076921,vp4
388,29,3,1.5,8,3,16.6006,10,1.66006,vp4
389,30,3,0.0,2,3,12.350700000000003,13,0.9500538461538464,vp4
390,31,1,1.5,2,2,0.0,0,,vp4
391,32,2,0.0,8,2,16.891299999999998,13,1.299330769230769,vp4
392,33,1,1.5,2,2,15.801300000000001,11,1.4364818181818182,vp4
393,34,2,1.5,8,2,9.0854,7,1.2979142857142858,vp4
394,35,2,0.0,2,2,17.296999999999997,10,1.7296999999999998,vp4
395,36,1,0.0,2,1,9.7128,11,0.8829818181818182,vp4
396,37,2,1.5,2,2,14.91,9,1.6566666666666667,vp4
397,38,2,0.0,8,2,11.364500000000001,11,1.0331363636363637,vp4
398,39,2,0.0,2,2,20.192600000000002,15,1.3461733333333334,vp4
399,40,2,0.0,8,2,15.698500000000001,15,1.0465666666666666,vp4
400,41,3,0.0,8,3,12.739899999999999,12,1.0616583333333331,vp4
